nik,status_bansos
3204321206100124,rejected
3204324810100125,rejected
3204326008100126,rejected
3204324101100127,accepted
3204324102100128,rejected
3204324107100129,accepted
3204325008100130,accepted
3204324107100131,rejected
3204324107100132,rejected
3204326301100133,accepted
3204325001100134,accepted
3204324808100135,accepted
3204324205100136,rejected
3204324806100137,rejected
3204324103100138,accepted
3204325101100139,accepted
3204324502100140,accepted
3204324107100141,rejected
3204306705100142,rejected
3204325202100143,rejected
3204320107100144,rejected
3204326112100145,rejected
3204321105100146,rejected
3204325106100147,rejected
3204325010100148,rejected
3204325512100149,accepted
3204326803100150,rejected
3204320107100151,rejected
3204324107100152,rejected
3204404303100153,accepted
3204324206100154,accepted
3204324404100155,rejected
3204140005100156,accepted
3204327012100157,accepted
3204324505100158,accepted
3204326803100159,rejected
3204324204100160,accepted
3204321111100161,rejected
3204125211100162,rejected
3204140002100163,rejected
3204324101100164,accepted
3204325009100165,rejected
3204304111100166,rejected
3204125211100167,rejected
3204321311100168,rejected
3204132106100169,accepted
3204324308100170,accepted
3204324512100171,accepted
3204320802100172,accepted
3204320906100173,rejected
3204120508100174,accepted
3204326607100175,rejected
3204324101100176,accepted
3204324205100177,accepted
3204325201100178,accepted
3204325402100179,rejected
3204325606100180,accepted
3204136109100181,accepted
3204324202100182,rejected
3204327012100183,rejected
3204320608100184,rejected
3204326404100185,rejected
3204320107100186,rejected
3204320111100187,rejected
3204320402100188,rejected
3204320604100189,rejected
3204134909100190,rejected
3204134808100191,rejected
3204134107100192,rejected
3204134107100193,rejected
3217144409100194,accepted
3204135002100195,rejected
3204135404100196,accepted
3204134106100197,accepted
3204130606100198,rejected
3204136908100199,rejected
3204135708100200,rejected
3204135805100201,accepted
3204165308100202,rejected
3204134101100203,rejected
3204131010100204,accepted
3204134610100205,accepted
3204164601100206,rejected
3204134812100207,accepted
3204166606100208,rejected
3204135509100209,rejected
3204136208100210,accepted
3204176909100211,rejected
3204160003100212,rejected
3204134603100213,rejected
3273176805100214,rejected
3204135710100215,rejected
3204136510100216,rejected
3204136801100217,rejected
3204136105100218,rejected
3204440501100219,accepted
3204135608100220,accepted
3204441208100221,accepted
3204130201100222,rejected
3204136207100223,accepted
3204130105100224,rejected
3204135807100225,rejected
3204134408100226,accepted
3204135503100227,accepted
3204135610100228,rejected
3204136307100229,rejected
3204134107100230,accepted
3204134405100231,accepted
3204135608100232,accepted
3204134406100233,rejected
3204134405100234,accepted
3204136006100235,rejected
3204136103100236,rejected
3204134202100237,rejected
3204130504100238,rejected
3204130702100239,accepted
3204064909100240,accepted
3204175006100241,rejected
3204134305100242,rejected
3204135104100243,rejected
3204134705100244,rejected
3204134402100245,accepted
3204135005100246,rejected
3204130107100247,rejected
3204136204100248,rejected
3204135104100249,rejected
3204134101100250,rejected
3204135203100251,rejected
3204135006100252,rejected
3204160001100253,rejected
3204160001100254,accepted
3204135008100255,rejected
3204131209100256,rejected
3204135203100257,rejected
3204134907100258,rejected
3204134507100259,rejected
3204135103100260,accepted
3204134511100261,rejected
3204130808100262,rejected
3204175810100263,rejected
3204134104100264,rejected
3204135507100265,accepted
3204135612100266,rejected
3204136301100267,rejected
3204137006100268,rejected
3204135506100269,rejected
3204136008100270,accepted
3204130606100271,accepted
3204054503100272,rejected
3204136802100273,rejected
3204134401100274,accepted
3204135505100275,rejected
3204134601100276,accepted
3204131310100277,rejected
3204135309100278,rejected
3204134503100279,rejected
3204134108100280,accepted
3204136110100281,rejected
3204134101100282,accepted
3204134710100283,rejected
3204351202100284,rejected
3204134106100285,accepted
3204133004100286,accepted
3204135806100287,accepted
3204130107100288,accepted
3204135108100289,rejected
3204134312100290,rejected
3204160010100291,rejected
3204135402100292,rejected
1605085701100293,accepted
3204130711100294,accepted
3204131602100295,rejected
3204130306100296,rejected
3204134105100297,rejected
3204134101100298,rejected
3204135201100299,rejected
3204085206100300,rejected
3204084708100301,accepted
3273116612100302,accepted
3204081801100303,accepted
3204080109100304,accepted
3204081001100305,rejected
3204086810100306,rejected
3204085608100307,accepted
3204084904100308,accepted
3204085810100309,accepted
3204084201100310,rejected
3204084612100311,rejected
3204085505100312,rejected
3204085506100313,rejected
3204085207100314,rejected
3204084504100315,rejected
3204082608100316,rejected
3204084503100317,rejected
3204085209100318,accepted
3204085309100319,rejected
3204084901100320,rejected
3204084409100321,rejected
3204086103100322,accepted
3204086411100323,accepted
3204081310100324,accepted
3204084112100325,accepted
3204085011100326,rejected
3204081209100327,rejected
3204084101100328,rejected
3204084401100329,rejected
3204084106100330,accepted
3204084204100331,rejected
3204085105100332,rejected
3204085207100333,rejected
3204085808100334,rejected
3204085411100335,accepted
3204085809100336,rejected
3204085703100337,accepted
3204085205100338,rejected
3204085309100339,rejected
3204087012100340,rejected
3204084612100341,rejected
3204085009100342,accepted
3204080511100343,rejected
3204085211100344,rejected
3204084101100345,rejected
3204085103100346,accepted
3204085205100347,rejected
3204084607100348,rejected
3204084101100349,rejected
3204085407100350,rejected
3204084207100351,accepted
3204087101100352,rejected
3204085702100353,accepted
3204084101100354,rejected
3204080101100355,rejected
3204087112100356,rejected
3204085208100357,rejected
3204084305100358,rejected
3204084506100359,rejected
3204444506100360,rejected
3204444505100361,rejected
3204444902100362,rejected
3204445007100363,rejected
3204445109100364,accepted
3204440102100365,rejected
3204442308100366,accepted
3204444110100367,accepted
3204444707100368,accepted
3204444101100369,rejected
3204445011100370,accepted
3204446912100371,rejected
3204447010100372,accepted
3204446405100373,rejected
3204445304100374,rejected
3204446807100375,accepted
3204440808100376,rejected
3204444809100377,rejected
3204441105100378,accepted
3204446410100379,rejected
3204446702100380,rejected
3204446802100381,rejected
3204447001100382,accepted
3204144309100383,rejected
3204444508100384,rejected
3204446006100385,rejected
3204446007100386,rejected
3204445306100387,rejected
3204445405100388,rejected
3204445912100389,rejected
3204444905100390,accepted
3204444104100391,accepted
3204446001100392,rejected
3204446109100393,accepted
3204444107100394,rejected
3204446212100395,rejected
3204445205100396,accepted
3204445604100397,accepted
3204444601100398,rejected
3204445109100399,rejected
3204161001100400,rejected
3204445606100401,rejected
3204444301100402,rejected
3204444105100403,rejected
3204444803100404,accepted
3204441205100405,rejected
3204440101100406,rejected
3204444701100407,rejected
3204445305100408,rejected
3204444806100409,accepted
3204446708100410,accepted
3204444209100411,accepted
3204444909100412,accepted
3204444201100413,rejected
3204444108100414,rejected
3204445501100415,accepted
3204444112100416,accepted
3204445506100417,accepted
3204444107100418,rejected
3204446301100419,accepted
3204175102100420,rejected
3204444208100421,rejected
3204445905100422,rejected
3204444608100423,rejected
3204444210100424,accepted
3204444204100425,accepted
3204445706100426,rejected
3204441406100427,rejected
3204445206100428,rejected
3204446711100429,rejected
3204100010100430,rejected
3204100010100431,rejected
3204100010100432,rejected
3204100010100433,rejected
3204100010100434,rejected
3204100010100435,rejected
3204100010100436,rejected
3204100010100437,rejected
3204100010100438,rejected
3204100010100439,rejected
3204284708100440,accepted
3204255709100441,accepted
3204254707100442,accepted
3204254710100443,rejected
3204256309100444,rejected
3204256208100445,rejected
3204254101100446,accepted
3204255909100447,accepted
3204254510100448,rejected
3204254611100449,accepted
3204255012100450,rejected
3204254506100451,rejected
3204255001100452,accepted
3204250202100453,rejected
3204254110100454,accepted
3204254107100455,rejected
3204100163100456,accepted
3204251401100457,rejected
3204254110100458,accepted
3204255206100459,accepted
3204254505100460,rejected
3204254101100461,accepted
3205105707100462,rejected
3204254609100463,rejected
3204255510100464,rejected
3204256404100465,rejected
3204254708100466,rejected
3204254306100467,rejected
3204256003100468,rejected
3204255710100469,rejected
3204250101100470,accepted
3201255405100471,accepted
3204252812100472,rejected
3204255009100473,rejected
3204254806100474,rejected
3204255506100475,rejected
3204254504100476,accepted
3204100011100477,rejected
3204100011100478,rejected
3204100011100479,rejected
3204251108100480,accepted
3204254101100481,rejected
3204256107100482,accepted
3204255908100483,rejected
3204254506100484,rejected
3204100160100485,rejected
3204256008100486,rejected
3204254902100487,rejected
3204255203100488,rejected
3204254101100489,rejected
3204101006100490,rejected
3204254803100491,rejected
3204255204100492,accepted
3204254709100493,rejected
3204255210100494,rejected
3204280703100495,rejected
3204255210100496,accepted
3204251210100497,rejected
3204254107100498,rejected
3204254107100499,accepted
3204256201100500,rejected
3204254101100501,rejected
3204254511100502,rejected
3204254403100503,rejected
3204256803100504,rejected
3204254101100505,rejected
3204254806100506,rejected
3204254107100507,accepted
3204254403100508,rejected
3204254404100509,rejected
3204254101100510,accepted
3204254607100511,accepted
3204255906100512,rejected
3204255307100513,accepted
3204254908100514,rejected
3204250401100515,rejected
3204254808100516,rejected
3204250307100517,accepted
3204254501100518,rejected
3204254812100519,rejected
3204254107100520,accepted
3204254102100521,accepted
3204254602100522,accepted
3204254709100523,accepted
3204257003100524,rejected
3204255504100525,rejected
3204254101100526,rejected
3204255610100527,accepted
3204255611100528,rejected
3204255007100529,accepted
3204275007100530,accepted
3204254308100531,rejected
3204255601100532,rejected
3204255809100533,accepted
3204256604100534,accepted
3204255111100535,rejected
3204256003100536,accepted
3204251703100537,accepted
3204256508100538,accepted
3204254202100539,accepted
3204255607100540,accepted
3204255406100541,accepted
3204252605100542,rejected
3204255109100543,rejected
3204256311100544,rejected
3204254102100545,accepted
3204256603100546,accepted
3204254211100547,rejected
3204254803100548,rejected
3204256912100549,rejected
3204276508100550,accepted
3204274706100551,accepted
3204274507100552,accepted
3204274607100553,accepted
3204275907100554,rejected
3273164304100555,rejected
3204274608100556,rejected
3204274304100557,accepted
3204275804100558,rejected
3204272203100559,rejected
3204276004100560,rejected
3204276808100561,accepted
3204274101100562,accepted
3204276805100563,rejected
3204274604100564,rejected
3204275007100565,rejected
3204274517100566,rejected
3204276805100567,rejected
3204274107100568,rejected
3204275904100569,rejected
2015300000100570,accepted
3204272409100571,rejected
3204271001100572,rejected
3204275410100573,rejected
3204275006100574,accepted
3204274804100575,accepted
3204274507100576,rejected
3204274607100577,rejected
3204275204100578,accepted
3204274101100579,rejected
3204274207100580,rejected
3204275804100581,rejected
3204274307100582,accepted
3204276110100583,rejected
3204276912100584,rejected
3204275209100585,rejected
3204274101100586,rejected
3204275908100587,rejected
3204275805100588,accepted
3204274101100589,rejected
3204275201100590,rejected
3204085102100591,accepted
3204271212100592,accepted
3204270508100593,accepted
3204271903100594,rejected
3204270204100595,accepted
3204275607100596,rejected
3204275005100597,rejected
3204274802100598,rejected
3204276004100599,accepted
3204274808100600,rejected
3204274112100601,rejected
3204274206100602,accepted
3204272510100603,rejected
3204274806100604,rejected
3204274607100605,accepted
3204274304100606,accepted
3204274405100607,rejected
3204274508100608,rejected
3204271002100609,rejected
3204275209100610,rejected
3204274109100611,rejected
3204275208100612,accepted
3204270206100613,rejected
3204275102100614,rejected
3204276002100615,rejected
3204276705100616,accepted
3204275211100617,rejected
3204275601100618,accepted
3204275507100619,accepted
3204274101100620,accepted
3204276410100621,rejected
3204274102100622,rejected
3204274107100623,rejected
3204274107100624,rejected
3204275608100625,accepted
3204276504100626,rejected
3204274506100627,rejected
3204355010100628,accepted
3204275605100629,rejected
3204274911100630,rejected
3204274503100631,rejected
3204276501100632,rejected
3206195911100633,rejected
3204270212100634,rejected
3204272411100635,rejected
3204272108100636,accepted
3204276609100637,rejected
3204275901100638,rejected
3204275507100639,rejected
3204074808100640,rejected
3204074205100641,accepted
3204076003100642,rejected
3204054105100643,accepted
3204074603100644,rejected
3204072901100645,accepted
3204070401100646,accepted
3204074107100647,accepted
3204071512100648,rejected
3204077011100649,rejected
3204074211100650,rejected
3204404210100651,rejected
3204075107100652,accepted
3204075011100653,rejected
3204106707100654,rejected
3204074107100655,rejected
3204074112100656,rejected
3204074206100657,accepted
3204076407100658,rejected
3204076611100659,accepted
2015300000100660,accepted
3204074402100661,rejected
3204076910100662,rejected
3204076907100663,accepted
3204075506100664,rejected
3204075206100665,rejected
3204075007100666,rejected
3204076712100667,rejected
3204070709100668,accepted
3204077011100669,rejected
3204077103100670,rejected
3204075204100671,rejected
3204076268100672,accepted
3204074710100673,rejected
3211074505100674,accepted
3204075411100675,rejected
3204074305100676,rejected
3204074606100677,rejected
3204070406100678,accepted
3204074211100679,rejected
3273256001100680,rejected
3204075306100681,accepted
3204075012100682,rejected
3204074305100683,rejected
3204075404100684,accepted
3204075008100685,rejected
3204074707100686,rejected
3204071505100687,rejected
3204074204100688,rejected
3204076103100689,accepted
3204074603100690,rejected
3204075005100691,rejected
3204074107100692,accepted
3273116405100693,accepted
3204074101100694,rejected
3204071803100695,rejected
3204071006100696,accepted
3204071203100697,accepted
3204075803100698,rejected
3204076108100699,rejected
3204054403100700,rejected
3204054301100701,rejected
3204059410100702,accepted
3204056212100703,accepted
3204055308100704,rejected
3204055006100705,rejected
3204055106100706,rejected
3204054205100707,accepted
3204055304100708,rejected
3204054508100709,accepted
3204055305100710,rejected
3204054101100711,rejected
3204054101100712,accepted
3204056109100713,rejected
3273206102100714,accepted
3204054901100715,rejected
3204054508100716,rejected
3204052808100717,accepted
3204252609100718,accepted
3204256901100719,rejected
3204054702100720,rejected
3204054606100721,accepted
3204054107100722,accepted
3204055403100723,rejected
3204056705100724,rejected
3204056508100725,rejected
3204054107100726,rejected
3204055203100727,rejected
3204054101100728,rejected
3204056901100729,accepted
3204054802100730,accepted
3204055503100731,accepted
3204055812100732,accepted
3204055210100733,accepted
3204056409100734,accepted
3204056010100735,rejected
3204051506100736,accepted
3204054205100737,rejected
3204055405100738,rejected
3204056808100739,accepted
3204054606100740,rejected
3204056806100741,accepted
3204054107100742,rejected
3204054202100743,accepted
3273165105100744,accepted
3204054608100745,rejected
3204055812100746,accepted
3273266608100747,rejected
3204055102100748,rejected
3204056610100749,rejected
3204055802100750,rejected
3204055806100751,accepted
3204445708100752,accepted
3204054106100753,accepted
3204056304100754,rejected
3204054907100755,rejected
3204054207100756,rejected
3204055601100757,rejected
3204054107100758,rejected
3273255506100759,rejected
3204174707100760,accepted
3204174309100761,rejected
3204174101100762,rejected
3204175210100763,accepted
3204174609100764,rejected
3204175905100765,accepted
3204175011100766,rejected
3204175901100767,rejected
3204174602100768,accepted
3204175804100769,accepted
3204176003100770,rejected
3204175708100771,rejected
3204174312100772,rejected
3204174102100773,rejected
3204175012100774,rejected
3204175301100775,accepted
3204175502100776,rejected
3204174807100777,rejected
3204174305100778,rejected
3204174503100779,accepted
3204175709100780,accepted
3204174110100781,accepted
3204170504100782,accepted
3204175007100783,accepted
3204170609100784,rejected
3204174504100785,rejected
3204164109100786,rejected
3204175306100787,rejected
3204170910100788,rejected
3204173012100789,accepted
3204174505100790,accepted
3204174808100791,rejected
3204174910100792,rejected
3204135603100793,rejected
3204174101100794,rejected
3204176609100795,accepted
3204174101100796,accepted
3204170309100797,rejected
3204176303100798,rejected
3204170403100799,accepted
3204176007100800,rejected
3204175512100801,rejected
3204135012100802,rejected
3204174501100803,rejected
3204174707100804,rejected
3204174606100805,rejected
3204176405100806,rejected
3204174205100807,accepted
3204170101100808,rejected
3204174404100809,accepted
3204174808100810,accepted
3204176005100811,rejected
3204175504100812,rejected
3204170112100813,rejected
3204176511100814,accepted
3204175503100815,rejected
3204174105100816,accepted
3204175212100817,rejected
3204175210100818,rejected
3204175203100819,accepted
3204176401100820,rejected
3204176001100821,accepted
3204176708100822,accepted
3204175902100823,rejected
3204175207100824,rejected
3204174903100825,rejected
3204170303100826,accepted
3204174101100827,accepted
3204174101100828,rejected
3204170101100829,accepted
3204176506100830,rejected
3204176003100831,accepted
3204171406100832,accepted
3204171704100833,rejected
3204040010100834,accepted
3204175202100835,rejected
3204176504100836,accepted
3204170810100837,accepted
3204175110100838,accepted
3204174410100839,rejected
3204030007100840,accepted
3204175607100841,accepted
3204176909100842,rejected
3204174102100843,rejected
3204174509100844,accepted
3204177007100845,rejected
3204174504100846,accepted
3204172404100847,rejected
3204175008100848,accepted
3204176304100849,rejected
3204176107100850,rejected
3204176107100851,accepted
3204176204100852,rejected
3204176302100853,rejected
3204176303100854,rejected
3204176406100855,rejected
3204176305100856,accepted
3204176410100857,rejected
3204176001100858,rejected
3204176101100859,accepted
3204064204100860,rejected
3204064107100861,rejected
3204065009100862,rejected
1472014904100863,accepted
3206194906100864,rejected
3204064101100865,rejected
3204064707100866,accepted
3204060507100867,rejected
3204064802100868,rejected
3204063112100869,rejected
3204060107100870,rejected
3204310009100871,rejected
3204065508100872,rejected
3204310009100873,rejected
3204064207100874,rejected
3204310009100875,rejected
3204061009100876,accepted
3204064505100877,accepted
3204064109100878,rejected
3204066812100879,accepted
3204066104100880,rejected
3204064811100881,rejected
3204064209100882,rejected
3204065212100883,rejected
3204061506100884,rejected
3204060504100885,accepted
3204062505100886,accepted
3204062611100887,rejected
3204065503100888,rejected
3204064107100889,accepted
3204067112100890,rejected
3204066706100891,rejected
3204061609100892,rejected
3204065003100893,rejected
3204064806100894,accepted
3204064909100895,rejected
3204065403100896,rejected
3204064103100897,rejected
3204065003100898,rejected
3204060909100899,rejected
3204061607100900,rejected
3204062909100901,accepted
3204065505100902,rejected
3204063005100903,rejected
3204060706100904,rejected
3204061603100905,rejected
3204051507100906,rejected
3204050702100907,rejected
3204060406100908,rejected
3204060101100909,rejected
3204065505100910,rejected
3204054808100911,rejected
3204067006100912,rejected
3211136301100913,rejected
3204064101100914,accepted
3204060107100915,rejected
3204064101100916,rejected
3204064101100917,rejected
3204064101100918,rejected
3204064904100919,accepted
3204064909100920,rejected
3204064801100921,accepted
3204064801100922,accepted
3204063001100923,rejected
3204066506100924,rejected
3204066508100925,rejected
3204064101100926,accepted
3204064107100927,accepted
3273124312100928,rejected
3204064406100929,rejected
3204064206100930,rejected
3204060607100931,rejected
3204060106100932,rejected
3204065805100933,rejected
3204065608100934,accepted
3204065107100935,rejected
3204060805100936,accepted
3204064404100937,rejected
3204066105100938,rejected
3204065005100939,rejected
3273246708100940,rejected
3204064506100941,rejected
3204064305100942,accepted
3204064505100943,accepted
3204064105100944,rejected
3204065904100945,rejected
3204064306100946,accepted
3204060611100947,accepted
3204064908100948,accepted
3204065804100949,rejected
3204295612100950,accepted
3204294706100951,rejected
3204294405100952,accepted
3204296012100953,accepted
3204295602100954,rejected
3204295601100955,rejected
3204296105100956,rejected
3204295403100957,rejected
3213046010100958,rejected
3204294107100959,rejected
3204296512100960,accepted
9999999999100961,accepted
3204294602100962,rejected
3204295901100963,rejected
3204295211100964,rejected
100965,rejected
3204294111100966,accepted
3204294103100967,rejected
3204296606100968,rejected
3204296207100969,rejected
3204294709100970,rejected
3204294309100971,accepted
3204296012100972,rejected
3204295510100973,rejected
3204294101100974,accepted
3204295211100975,rejected
3204295808100976,accepted
3204294606100977,rejected
3204294404100978,accepted
3204294309100979,rejected
3204296211100980,rejected
3204294306100981,rejected
3204291207100982,rejected
3204291609100983,accepted
3204291702100984,accepted
3204295302100985,rejected
3204294912100986,rejected
3204290112100987,rejected
3204295012100988,rejected
3204296206100989,accepted
3204296004100990,rejected
3204295903100991,rejected
3204295010100992,rejected
3204295102100993,accepted
3204295505100994,rejected
3204345809100995,rejected
3204295006100996,accepted
3204294807100997,rejected
3204296707100998,accepted
3204295404100999,accepted
3204294706101000,accepted
3204294505101001,rejected
3204295012101002,rejected
3204294808101003,rejected
3204295612101004,rejected
3204295111101005,accepted
3204296306101006,rejected
3204294605101007,rejected
3204295503101008,accepted
3204297010101009,rejected
3204294412101010,accepted
3204296707101011,rejected
3204294607101012,accepted
3204295906101013,rejected
3204294707101014,rejected
3204295404101015,rejected
3204295102101016,rejected
3204294309101017,rejected
3204294412101018,accepted
3204294808101019,accepted
3204294105101020,rejected
3204295010101021,rejected
3204294602101022,accepted
3204294107101023,rejected
3204296801101024,rejected
3204295805101025,rejected
3204294810101026,rejected
3204294207101027,rejected
3204295206101028,accepted
3273144607101029,rejected
3204295111101030,accepted
3204294510101031,rejected
3204296011101032,accepted
3204295904101033,rejected
3204296206101034,rejected
3204296010101035,rejected
3204294105101036,accepted
9999999999101037,rejected
3211206408101038,rejected
3204294409101039,accepted
3204294204101040,accepted
3204295912101041,accepted
3204295004101042,accepted
3204295910101043,rejected
3204294406101044,rejected
3204296208101045,rejected
3204294605101046,accepted
3204295904101047,accepted
3204295204101048,accepted
3204295010101049,rejected
3204296101101050,rejected
3204295207101051,rejected
3204295808101052,accepted
3204295005101053,rejected
3204296107101054,rejected
3204295104101055,rejected
3204295311101056,rejected
3204295508101057,rejected
3204294107101058,rejected
3204296008101059,accepted
3204295508101060,rejected
3204294305101061,accepted
3204294109101062,rejected
3204295904101063,rejected
3204294101101064,accepted
3204294302101065,accepted
3204294507101066,rejected
3204296211101067,rejected
3204295009101068,rejected
3204295610101069,rejected
3204295502101070,rejected
3204294101101071,accepted
9999999999101072,rejected
3204294806101073,accepted
3204294604101074,rejected
3204294506101075,rejected
3204294602101076,rejected
3204295003101077,accepted
3204294803101078,rejected
3204294307101079,rejected
3204295808101080,accepted
3204294412101081,accepted
3204297003101082,accepted
3204294101101083,accepted
3204294708101084,rejected
3204294510101085,rejected
3204295606101086,accepted
3204294203101087,accepted
3204296301101088,rejected
3204295602101089,rejected
3204394407101090,rejected
3204394708101091,accepted
3204390107101092,accepted
3204396411101093,accepted
3204394107101094,accepted
3204390808101095,accepted
3204395507101096,rejected
3204394705101097,accepted
3204395511101098,accepted
3204396708101099,accepted
3204395803101100,rejected
3204390207101101,rejected
3204394507101102,rejected
3204394507101103,rejected
3204394610101104,rejected
3204395211101105,rejected
3204395212101106,rejected
3204394909101107,rejected
3204395003101108,rejected
3204396606101109,rejected
3204396501101110,rejected
3204392704101111,rejected
3204395312101112,accepted
3204397101101113,rejected
3204395611101114,accepted
3204395606101115,rejected
3204395811101116,rejected
3204397011101117,accepted
3204394107101118,accepted
3204396008101119,accepted
3204394707101120,rejected
3204392102101121,accepted
3204396109101122,rejected
3204394602101123,accepted
3204394908101124,accepted
3204394905101125,rejected
3204397009101126,accepted
3204391802101127,accepted
3204394107101128,accepted
3204390405101129,rejected
3204395107101130,rejected
3204395010101131,rejected
3204390811101132,accepted
3204116212101133,rejected
3204395505101134,rejected
3204394107101135,accepted
3204010003101136,accepted
3204391812101137,rejected
3204394101101138,accepted
3204384505101139,rejected
3204321509101140,accepted
3203055001101141,rejected
3204394410101142,accepted
3204396007101143,accepted
3204394103101144,rejected
3204394107101145,rejected
3204396006101146,rejected
3204394107101147,rejected
3204394101101148,rejected
3204394107101149,rejected
3204394105101150,accepted
3204381306101151,rejected
3204382306101152,rejected
3204394311101153,rejected
3204380107101154,accepted
3204382107101155,rejected
3204386509101156,rejected
3204382204101157,rejected
3204380609101158,rejected
3204380202101159,accepted
3204125206101160,accepted
3204120802101161,rejected
3204124711101162,rejected
3204125805101163,rejected
3204127009101164,accepted
3204125612101165,rejected
3204124107101166,rejected
3204124701101167,rejected
3204124702101168,accepted
3204124305101169,rejected
3204155112101170,rejected
3204124501101171,rejected
3204124811101172,accepted
3204151308101173,rejected
3204126611101174,rejected
3204126704101175,rejected
3204125212101176,rejected
3204125008101177,accepted
3204124808101178,rejected
3204125804101179,rejected
3204125112101180,accepted
3204121303101181,rejected
3204120102101182,accepted
3204120504101183,rejected
3204124605101184,rejected
3204121310101185,accepted
3204126707101186,rejected
3204124112101187,accepted
3204124101101188,accepted
3204125707101189,rejected
3204121109101190,rejected
3204125212101191,accepted
3204121305101192,rejected
3204322910101193,rejected
3204125505101194,rejected
3204126705101195,accepted
3204124107101196,accepted
3204126606101197,accepted
3204124101101198,accepted
3204124705101199,rejected
3204124203101200,rejected
3204124502101201,rejected
3204124101101202,rejected
3204124101101203,rejected
3204126401101204,rejected
3204121409101205,accepted
3204122407101206,accepted
3204126505101207,accepted
3204124811101208,accepted
3204124410101209,accepted
3204125004101210,rejected
3204121808101211,rejected
3204121808101212,rejected
3204124810101213,rejected
3204120410101214,accepted
3204124107101215,rejected
3204120609101216,accepted
3204124107101217,rejected
3204125111101218,rejected
3204126911101219,rejected
3204364104101220,rejected
3204366302101221,rejected
3204364308101222,accepted
1210000258101223,rejected
3204365807101224,accepted
3204367064101225,rejected
3204365302101226,rejected
3204366804101227,accepted
3204356606101228,rejected
3204364101101229,accepted
3204364107101230,rejected
3204364402101231,accepted
3204365012101232,rejected
3204366004101233,rejected
3204364511101234,rejected
3204365808101235,rejected
3204364103101236,accepted
3204130802101237,rejected
3204131107101238,accepted
3204362903101239,accepted
3204364107101240,rejected
3204364107101241,rejected
9999999999101242,accepted
3204365605101243,rejected
9999999999101244,rejected
3204364305101245,rejected
3204365509101246,rejected
3204364107101247,rejected
3204364402101248,accepted
3204364803101249,rejected
3204364402101250,accepted
3204366609101251,rejected
3204365408101252,accepted
3204365110101253,accepted
3204365108101254,accepted
3204362008101255,rejected
3204366607101256,accepted
3204362102101257,accepted
3204365509101258,rejected
3204362001101259,accepted
3204364306101260,rejected
3204364308101261,rejected
3204364311101262,rejected
3204366208101263,rejected
3204364309101264,rejected
3204360511101265,rejected
3204362309101266,rejected
3204364206101267,rejected
3204364604101268,rejected
3204365201101269,rejected
3204366903101270,rejected
